City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Severodvinsk,90,RU,1571442386,85,64.56,39.82,32.0,8.95
Hobart,75,AU,1571442386,53,-42.88,147.33,53.01,14.99
Viedma,0,AR,1571442386,72,-40.81,-62.99,50.36,7.2
Mogadishu,100,SO,1571442387,83,2.04,45.34,78.53,9.26
Chumikan,34,RU,1571442387,71,54.72,135.31,38.05,7.83
Ushuaia,90,AR,1571442388,56,-54.81,-68.31,42.8,18.34
Saint Leonard,1,US,1571442388,71,38.47,-76.51,57.99,4.9
Saint-Pierre,0,FR,1571442389,87,48.95,4.24,55.4,9.17
Kamiiso,75,JP,1571442389,93,41.82,140.65,57.2,13.87
Chokurdakh,64,RU,1571442390,93,70.62,147.9,5.72,6.53
Hervey Bay,75,AU,1571442391,69,-25.3,152.85,80.01,14.99
Dikson,100,RU,1571442392,91,73.51,80.55,28.96,16.62
Albany,75,US,1571442392,66,42.65,-73.75,48.2,9.17
Nikolskoye,90,RU,1571442394,93,59.7,30.79,46.4,8.95
Kavieng,98,PG,1571442394,73,-2.57,150.8,81.67,7.02
Itarema,17,BR,1571442394,72,-2.92,-39.92,79.34,11.54
San Quintin,18,PH,1571442395,77,17.54,120.52,78.8,3.6
Cherskiy,98,RU,1571442395,95,68.75,161.3,16.18,9.15
Taoudenni,0,ML,1571442396,21,22.68,-3.98,86.4,7.83
Ahipara,60,NZ,1571442396,92,-35.17,173.16,73.99,14.97
Port Alfred,100,ZA,1571442397,95,-33.59,26.89,64.0,3.83
Mungeli,82,IN,1571442397,86,22.07,81.69,70.92,3.31
Ilulissat,100,GL,1571442398,80,69.22,-51.1,35.6,18.34
Mataura,64,NZ,1571442398,69,-46.19,168.86,55.44,2.62
Jamestown,93,AU,1571442398,47,-33.21,138.6,57.04,15.59
Padang,100,ID,1571442399,86,-0.92,100.36,77.76,14.92
Portland,40,US,1571442399,57,43.66,-70.25,50.0,12.75
Cape Town,0,ZA,1571442399,88,-33.93,18.42,64.99,10.29
Husavik,97,CA,1571442400,76,50.56,-96.99,54.0,5.01
Itoman,75,JP,1571442400,83,26.12,127.67,78.8,16.11
Bluff,12,AU,1571442401,48,-23.58,149.07,83.54,10.02
Fare,93,PF,1571442401,79,-16.7,-151.02,80.14,13.62
Srednekolymsk,92,RU,1571442402,95,67.46,153.71,7.85,4.94
Rikitea,88,PF,1571442402,83,-23.12,-134.97,69.14,26.19
Punta Arenas,75,CL,1571442403,76,-53.16,-70.91,48.2,20.8
Kapaa,90,US,1571442403,70,22.08,-159.32,84.2,8.05
Komsomolskiy,29,RU,1571442404,96,67.55,63.78,16.51,7.76
Phan Thiet,100,VN,1571442405,79,10.93,108.1,76.63,2.1
Porbandar,71,IN,1571442405,65,21.64,69.61,84.91,8.46
Lorengau,63,PG,1571442407,70,-2.02,147.27,84.26,8.1
Nieves,98,MX,1571442409,53,24.0,-103.02,67.84,5.61
Dovers,40,VC,1571442409,88,12.88,-61.18,80.6,8.05
Vaini,100,IN,1571442411,92,15.34,74.49,74.07,2.59
Estevan,20,CA,1571442411,54,49.14,-102.99,57.2,10.29
Iqaluit,90,CA,1571442412,74,63.75,-68.52,28.4,9.17
Yellowknife,90,CA,1571442412,86,62.45,-114.38,30.2,11.41
Camacha,40,PT,1571442412,88,33.08,-16.33,71.6,8.05
Vostok,23,RU,1571442413,47,46.45,135.83,45.52,1.01
Saint George,20,GR,1571442413,93,39.45,22.34,60.8,0.87
Souillac,75,FR,1571442413,87,45.6,-0.6,59.0,12.75
Vila Velha,20,BR,1571442414,74,-3.71,-38.6,80.6,11.41
Hamilton,40,CA,1571442414,61,43.26,-79.87,50.0,3.36
Atuona,16,PF,1571442415,73,-9.8,-139.03,81.0,18.57
Thyboron,100,DK,1571442415,84,56.7,8.21,52.0,1.99
Saskylakh,17,RU,1571442416,100,71.97,114.09,-7.73,0.67
Thompson,90,CA,1571442416,81,55.74,-97.86,44.6,4.7
Antalaha,29,MG,1571442417,94,-14.9,50.28,61.29,4.0
Jiangyou,76,CN,1571442417,92,31.78,104.73,51.08,2.15
Castro,0,CL,1571442417,76,-42.48,-73.76,53.6,6.93
Upernavik,100,GL,1571442418,96,72.79,-56.15,31.46,9.86
Hilo,1,US,1571442418,55,19.71,-155.08,86.0,9.17
Kavaratti,100,IN,1571442419,76,10.57,72.64,82.91,12.46
Svetlogorsk,90,RU,1571442419,93,53.14,59.15,39.2,8.95
Bredasdorp,0,ZA,1571442420,87,-34.53,20.04,63.0,0.58
Osa,69,RU,1571442420,82,57.28,55.46,26.32,11.1
Bethel,1,US,1571442421,50,60.79,-161.76,32.0,3.36
Kovdor,100,RU,1571442422,97,67.56,30.47,28.08,1.83
Ribeira Grande,100,PT,1571442422,75,38.52,-28.7,64.24,20.6
Broome,71,GB,1571442423,93,52.47,1.45,54.0,8.05
Cidreira,62,BR,1571442424,89,-30.17,-50.22,65.9,11.68
Tasiilaq,20,GL,1571442424,74,65.61,-37.64,30.2,1.12
Puerto Ayora,20,EC,1571442425,60,-0.74,-90.35,75.2,19.46
Torbay,90,CA,1571442425,100,47.66,-52.73,59.0,9.17
Sao Joao da Barra,0,BR,1571442426,79,-21.64,-41.05,72.85,1.9
Leon,1,US,1571442426,45,40.74,-93.75,66.2,16.11
Boca do Acre,98,BR,1571442427,79,-8.76,-67.39,77.42,2.62
Mar del Plata,38,AR,1571442427,31,-46.43,-67.52,63.07,14.03
Constitucion,40,MX,1571442427,35,23.99,-104.67,84.2,3.36
Leh,81,IN,1571442428,55,34.16,77.58,22.73,5.26
Adrar,0,DZ,1571442428,23,27.87,-0.29,77.0,11.41
Kodiak,1,US,1571442429,48,39.95,-94.76,69.8,16.11
Avarua,100,CK,1571442429,88,-21.21,-159.78,75.2,12.75
Fortuna,20,US,1571442430,55,40.6,-124.16,62.6,10.29
Weinan,0,CN,1571442430,100,34.5,109.46,55.0,4.47
Melito di Porto Salvo,5,IT,1571442430,72,37.92,15.77,68.0,3.36
Qaanaaq,19,GL,1571442431,71,77.48,-69.36,4.32,7.0
Tuatapere,92,NZ,1571442431,88,-46.13,167.69,51.97,14.43
Abu Samrah,87,SY,1571442432,76,35.3,37.18,68.08,6.6
East London,84,ZA,1571442432,93,-33.02,27.91,63.52,3.71
Alice Town,100,BS,1571442433,79,25.72,-79.3,82.26,13.13
Virginia Beach,1,US,1571442433,81,36.85,-75.98,59.0,14.16
Tres Arroyos,0,AR,1571442434,82,-38.38,-60.28,49.41,5.68
Sao Felix do Xingu,83,BR,1571442434,92,-6.64,-51.99,72.92,2.82
Juruti,49,BR,1571442435,66,-2.16,-56.09,80.8,1.36
Homer,90,US,1571442435,81,59.64,-151.54,45.0,4.36
Luba,18,PH,1571442437,77,17.32,120.7,78.8,3.6
Bagdarin,74,RU,1571442437,67,54.44,113.59,29.07,2.82
Morondava,0,MG,1571442438,83,-20.3,44.28,78.25,7.96
Norman Wells,90,CA,1571442439,80,65.28,-126.83,33.8,10.29
Boa Vista,40,BR,1571442440,69,2.82,-60.67,82.4,8.05
